municipio,codigo_ibge,mesorregiao,populacao,renda_per_capita,lat,lon,tem_museu,tem_teatro_sala_espetaculo,tem_cinema,tem_biblioteca,n_equipamentos
Aiuaba,2300408,Sertões Cearenses,14076,659.88,-6.5632984401,-40.1231600776,False,False,False,True,1
Pereiro,2310803,Jaguaribe,15274,719.3,-6.045076902,-38.459136039,False,True,False,True,2
Saboeiro,2311900,Sertões Cearenses,13854,665.49,-6.5364333525,-39.9045806984,False,False,False,True,1
Piquet Carneiro,2310902,Sertões Cearenses,16616,704.36,-5.8085695598,-39.4194062555,False,False,False,True,1
Salitre,2311959,Sul Cearense,16633,544.51,-7.284528685,-40.4647520646,True,False,False,True,2
Acarape,2300150,Norte Cearense,14027,674.46,-4.2231384094,-38.705623771,False,False,False,True,1
Porteiras,2311108,Sul Cearense,17050,829.82,-7.5357464416,-39.1153314615,True,False,False,True,2
Graça,2304657,Noroeste Cearense,13801,574.75,-4.046938794,-40.7555248996,False,False,False,False,0
Quixelô,2311355,Centro-Sul Cearense,15910,693.31,-6.2512119004,-39.2022943665,True,True,True,True,4
Fortim,2304459,Jaguaribe,17294,900.17,-4.4498049174,-37.798975486,False,False,False,True,1
Barroquinha,2302057,Noroeste Cearense,14567,509.21,-3.0091167462,-41.1394815382,False,False,False,True,1
Tururu,2313559,Norte Cearense,15412,565.11,-3.5955952355,-39.434363537,False,False,False,True,1
Nova Olinda,2309201,Sul Cearense,15399,674.97,-7.0841028114,-39.6794854727,True,True,False,True,3
Mucambo,2309003,Noroeste Cearense,13666,730.44,-3.9060299796,-40.7452804652,False,False,False,True,1
Apuiarés,2300903,Norte Cearense,12928,627.92,-3.9480185186,-39.4304227833,True,False,False,True,2
Iracema,2306009,Jaguaribe,14001,850.77,-5.8098425529,-38.3046616557,False,False,False,True,1
Meruoca,2308203,Noroeste Cearense,15157,752.71,-3.5390066623,-40.4508809568,False,True,False,True,2
Milhã,2308351,Sertões Cearenses,14123,827.51,-5.6795641009,-39.2035741816,False,False,False,True,1
Frecheirinha,2304509,Noroeste Cearense,15657,822.31,-3.7606119315,-40.8214052012,False,False,False,True,1
Ibaretama,2305266,Sertões Cearenses,11956,624.16,-4.8186515779,-38.8216783127,True,False,False,True,2
Uruoca,2313906,Noroeste Cearense,13746,611.47,-3.3132306604,-40.5611630277,False,False,False,True,1
Choró,2303931,Sertões Cearenses,12113,549.53,-4.8425156593,-39.1374675316,False,False,False,True,1
Miraíma,2308377,Noroeste Cearense,14196,453.17,-3.5685999066,-39.970064882,False,False,False,True,1
Chaval,2303907,Noroeste Cearense,12462,672.47,-3.0389011891,-41.2445958219,False,False,False,True,1
São Luís do Curu,2312601,Norte Cearense,10822,622.89,-3.6730092532,-39.241606185,False,False,False,True,1
Ipaumirim,2305704,Centro-Sul Cearense,12083,744.84,-6.7883612602,-38.7159037441,False,False,False,True,1
Palmácia,2310100,Norte Cearense,10242,689.96,-4.1489817745,-38.8450290663,False,False,False,True,1
Poranga,2311009,Noroeste Cearense,12065,654.04,-4.7439507319,-40.9263795103,False,False,False,True,1
Pacoti,2309805,Norte Cearense,11186,720.8,-4.2247654331,-38.9258889387,True,True,False,True,3
Aratuba,2301406,Norte Cearense,11224,732.99,-4.416930645,-39.0475545618,True,True,False,True,3
Mulungu,2309102,Norte Cearense,10569,768.51,-4.2995283201,-38.9930659239,False,False,False,True,1
Ipaporanga,2305654,Sertões Cearenses,11575,648.09,-4.9006297857,-40.75796634,False,False,False,True,1
Ibicuitinga,2305332,Jaguaribe,11611,627.47,-4.9691664228,-38.6408630486,False,False,False,True,1
Paramoti,2310407,Norte Cearense,10384,569.94,-4.097432332,-39.239466495,False,False,False,True,1
